Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
C,Lavoy Allen,3800,Cha@Ind 07:00PM ET,15.799,Ind
PG,Patty Mills,3800,SA@Orl 07:00PM ET,16.324,SA
PG,Brandon Jennings,3800,Den@Det 07:30PM ET,14.807,Det
PG,T.J. McConnell,3800,Sac@Phi 07:00PM ET,20.067,Phi
C,Frank Kaminsky,3800,Cha@Ind 07:00PM ET,16.495,Cha
C,Festus Ezeli,3700,GS@Pho 09:00PM ET,19.050,GS
SG,Hollis Thompson,3700,Sac@Phi 07:00PM ET,16.325,Phi
SG,Nik Stauskas,3700,Sac@Phi 07:00PM ET,14.815,Phi
SG,Mario Hezonja,3700,SA@Orl 07:00PM ET,9.813,Orl
SF,Paul Pierce,3600,LAC@Bos 07:30PM ET,12.266,LAC
PG,Kirk Hinrich,3600,Atl@Chi 08:00PM ET,9.250,Chi
PF,Boris Diaw,3600,SA@Orl 07:00PM ET,15.333,SA
C,Roy Hibbert,3600,LAL@Cle 08:00PM ET,18.594,LAL
C,Cole Aldrich,3600,LAC@Bos 07:30PM ET,13.933,LAC
SF,Marcus Thornton,3600,Hou@Por 10:30PM ET,17.183,Hou
C,Omer Asik,3600,Uta@NO 08:00PM ET,12.841,NO
SG,Iman Shumpert,3600,LAL@Cle 08:00PM ET,15.431,Cle
C,Timofey Mozgov,3600,LAL@Cle 08:00PM ET,13.807,Cle
C,Boban Marjanovic,3600,SA@Orl 07:00PM ET,12.133,SA
SG,Bojan Bogdanovic,3600,Mem@Bkn 07:30PM ET,16.024,Bkn
SF,Maurice Harkless,3600,Hou@Por 10:30PM ET,11.662,Por
PG,Shaun Livingston,3500,GS@Pho 09:00PM ET,14.457,GS
PG,Ty Lawson,3500,Hou@Por 10:30PM ET,15.946,Hou
C,Kosta Koufos,3500,Sac@Phi 07:00PM ET,17.196,Sac
SF,Alonzo Gee,3400,Uta@NO 08:00PM ET,11.348,NO
C,Marreese Speights,3400,GS@Pho 09:00PM ET,12.116,GS
SF,James Johnson,3400,Tor@Min 08:00PM ET,11.244,Tor
SF,Tony Snell,3400,Atl@Chi 08:00PM ET,12.235,Chi
SF,Doug McDermott,3400,Atl@Chi 08:00PM ET,12.660,Chi
SG,Ben McLemore,3400,Sac@Phi 07:00PM ET,13.847,Sac
SG,Kevin Martin,3300,Tor@Min 08:00PM ET,16.707,Min
C,Aron Baynes,3300,Den@Det 07:30PM ET,13.793,Det
SG,Markel Brown,3300,Mem@Bkn 07:30PM ET,7.279,Bkn
SF,P.J. Hairston,3300,Cha@Ind 07:00PM ET,12.085,Cha
PF,Noah Vonleh,3300,Hou@Por 10:30PM ET,10.805,Por
C,Jusuf Nurkic,3300,Den@Det 07:30PM ET,15.016,Den
PG,Mo Williams,3200,LAL@Cle 08:00PM ET,16.705,Cle
PG,Randy Foye,3200,Den@Det 07:30PM ET,13.014,Den
PF,Anthony Tolliver,3200,Den@Det 07:30PM ET,12.697,Det
C,Anderson Varejao,3200,LAL@Cle 08:00PM ET,7.775,Cle
SF,Dante Cunningham,3200,Uta@NO 08:00PM ET,10.827,NO
SF,Lance Stephenson,3200,LAC@Bos 07:30PM ET,10.690,LAC
PF,Nemanja Bjelica,3200,Tor@Min 08:00PM ET,12.049,Min
C,Tarik Black,3200,LAL@Cle 08:00PM ET,9.961,LAL
